Drug,Pharmacological class,Interacting Drug or Class,Rationale,Recommendation,Quality of Evidence,Strength of Recommendation
Ziprasidone,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Fluphenazine,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Brexpiprazole,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Cariprazine,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Pimavanserin,Antipsychotics ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Alprazolam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Chlordiazepoxide ,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Applicable to chlordiazepoxide alone/ in combination with amitriptyline or clidinium:
Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Clobazam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Clonazepam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Clorazepate,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Diazepam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Estazolam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Lorazepam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Midazolam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Oxazepam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Temazepam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Triazolam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Flurazepam,Benzodiazepines,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Zolpidem,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ",Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Zaleplon,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ",Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Eszopiclone,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ",Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Morphine,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Methadone,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Oxycodone,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Hydrocodone,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Fentanyl,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Codeine,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Tramadol,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Oxymorphone,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Buprenorphine,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Meperidine,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Pethidine,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Hydromorphone,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Tapentadol,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Remifentanil,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Alfentanil,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Pentazocine,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Sufentanil,Opioids,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Carisoprodol,Skeletal muscle relaxants ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Chlorzoxazone,Skeletal muscle relaxants ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Cyclobenzaprine,Skeletal muscle relaxants ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Metaxalone,Skeletal muscle relaxants ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Methocarbamol,Skeletal muscle relaxants ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Orphenadrine,Skeletal muscle relaxants ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Baclofen,Skeletal muscle relaxants ,Any combination of >=3 of these CNS-active drugs.,"Increased risk of falls and of fracture with the concurrent use of >=3 CNS-active agents (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants).","Avoid concurrent use of >=3 CNS-active drugs (antiepileptics including gabapentinoids, antidepressants, antipsychotics, benzodiazepines, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids, and skeletal muscle relaxants); minimize the number of CNS-active drugs.",High,Strong
Lithium,Antimanic agents,Angiotensin converting enzyme inhibitors,Increased risk of lithium toxicity.,Avoid; monitor lithium concentrations,Moderate,Strong
Lithium,Antimanic agents,Angiotensin II subtype 1 receptor blockers; Angiotensin II receptor type 1 receptor blockers,Increased risk of lithium toxicity.,Avoid; monitor lithium concentrations,Moderate,Strong
Lithium,Antimanic agents,Angiotensin receptor neprilysin inhibitors,Increased risk of lithium toxicity.,Avoid; monitor lithium concentrations,Moderate,Strong
Lithium,Antimanic agents,Loop diuretics,Increased risk of lithium toxicity.,Avoid; monitor lithium concentrations,Moderate,Strong
Doxazosin,Non-selective peripheral alpha-1 blockers ,Loop diuretics,Increased risk of urinary incontinence in older women.,"Avoid in older women, unless conditions warrant both drugs.",Moderate,Strong
Prazosin,Non-selective peripheral alpha-1 blockers ,Loop diuretics,Increased risk of urinary incontinence in older women.,"Avoid in older women, unless conditions warrant both drugs.",Moderate,Strong
Terazosin,Non-selective peripheral alpha-1 blockers ,Loop diuretics,Increased risk of urinary incontinence in older women.,"Avoid in older women, unless conditions warrant both drugs.",Moderate,Strong
Tamsulosin,Selective peripheral alpha-1 blockers,Loop diuretics,"Increased risk of urinary incontinence in older women.

Data are limited for selective peripheral alpha-1 blockers (e.g., tamsulosin, silodosin, and others) but may apply as well.","Avoid in older women, unless conditions warrant both drugs.",Moderate,Strong
Silodosin,Selective peripheral alpha-1 blockers,Loop diuretics,"Increased risk of urinary incontinence in older women.

Data are limited for selective peripheral alpha-1 blockers (e.g., tamsulosin, silodosin, and others) but may apply as well.","Avoid in older women, unless conditions warrant both drugs.",Moderate,Strong
Alfuzosin,Selective peripheral alpha-1 blockers,Loop diuretics,"Increased risk of urinary incontinence in older women.

Data are limited for selective peripheral alpha-1 blockers (e.g., tamsulosin, silodosin, and others) but may apply as well.","Avoid in older women, unless conditions warrant both drugs.",Moderate,Strong
Phenytoin,Antiepileptics  ,Trimethoprim/sulfamethoxazole,Increased risk of phenytoin toxicity.,Avoid,Moderate,Strong
Theophylline,Xanthines,Cimetidine,Increased risk of theophylline toxicity.,Avoid,Moderate,Strong
Theophylline,Xanthines,Ciprofloxacin,Increased risk of theophylline toxicity.,Avoid,Moderate,Strong
Warfarin,Vitamin K antagonists,Amiodarone,Increased risk of bleeding.,"Avoid when possible; if used together, monitor INR closely.",Moderate,Strong
