Disease or syndrome,Drug(s),Pharmacological class,Rationale,Recommendation,Quality of evidence,"Strength of
recommendation"
Dementia or cognitive impairment,Eszopiclone,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ","Avoid because of adverse CNS effects.
Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (“Z-drugs”) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Zaleplon,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ","Avoid because of adverse CNS effects.
Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (“Z-drugs”) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate,Strong
Dementia or cognitive impairment,Zolpidem,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (""Z-drugs"") ","Avoid because of adverse CNS effects.
Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (“Z-drugs”) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate,Strong
History of falls or fractures,Amitriptyline,Tricyclic antidepressants,"Strong anticholinergic properties. 
Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
May cause ataxia, impaired psychomotor function,
syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Amoxapine,Tricyclic antidepressants,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
May cause ataxia, impaired psychomotor function,
syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Clomipramine,Tricyclic antidepressants,"Strong anticholinergic properties. 
Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
May cause ataxia, impaired psychomotor function,
syncope, or additional falls.
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Desipramine,Tricyclic antidepressants,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Doxepin,Tricyclic antidepressants,"<=6mg/day: Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
>6mg/day:
Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Imipramine,Tricyclic antidepressants,"Strong anticholinergic properties. 
Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Nortriptyline,Tricyclic antidepressants,"Strong anticholinergic properties. 
Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Paroxetine,Selective serotonin re-uptake inhibitors,"Strong anticholinergic properties. 
Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Duloxetine,Serotonin and norepinephrine reuptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Venlafaxine,Serotonin and norepinephrine reuptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Desvenlafaxine,Serotonin and norepinephrine reuptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Escitalopram,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Fluvoxetine,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Fluvoxamine,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Sertraline,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Vortioxetine,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Citalopram,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Dapoxetine,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Trazodone,Selective serotonin re-uptake inhibitors,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Dothiepin,Tricyclic antidepressants,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Dosulepin,Tricyclic antidepressants,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Protriptyline,Tricyclic antidepressants,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Tianeptine,Tricyclic antidepressants,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Trimipramine,Tricyclic antidepressants,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Melitracen,Tricyclic antidepressants,"Evidence for risk of falls and fractures is mixed; newer evidence suggests that SNRIs may increase falls risk. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,Moderate,Strong
History of falls or fractures,Prochlorperazine,Antiemetics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Promethazine,"Antiemetics, First-generation antihistamines","Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Brompheniramine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Chlorpheniramine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Cyproheptadine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Dimenhydrinate,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Diphenhydramine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Doxylamine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Hydroxyzine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Meclizine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Triprolidine,First-generation antihistamines,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Darifenacin,Antimuscarinics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Fesoterodine,Antimuscarinics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Flavoxate,Antimuscarinics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Oxybutynin,Antimuscarinics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Solifenacin,Antimuscarinics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Tolterodine,Antimuscarinics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Trospium,Antimuscarinics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Benztropine,Antiparkinsonian agents,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Trihexyphenidyl,Antiparkinsonian agents,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.",Avoid unless safer alternatives are not available.,High,Strong
History of falls or fractures,Chlorpromazine,Antipsychotics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Clozapine,Antipsychotics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Olanzapine,Antipsychotics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Perphenazine,Antipsychotics,"Strong anticholinergic properties. 
May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Fluphenazine,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Haloperidol,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
History of falls or fractures,Aripiprazole,Antipsychotics,"May cause ataxia, impaired psychomotor function, syncope, or additional falls. 
If the drug must be used, consider reducing the use of other CNS-active medications that increase the risk of falls and fractures (i.e., anticholinergics, selected antidepressants, antiepileptics, antipsychotics, sedative/hypnotics including benzodiazepines and, nonbenzodiazepine benzodiazepine receptor agonist hypnotics, opioids) and implement other strategies to reduce fall risk.","Avoid unless safer alternatives are not available.

May be required to treat concurrent schizophrenia, bipolar disorder, and other selected mental health and neuropsychiatric conditions but should be prescribed in the lowest effective dose and for the shortest possible duration.",High,Strong
